,LocationDesc,Question,Data_Value,StratificationCategory1,Stratification1
21,National,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,38.7,Age (years),25 - 34
22,North Dakota,Percent of adults aged 18 years and older who have an overweight classification,36.6,Total,Total
23,Michigan,Percent of adults who report consuming vegetables less than one time daily,16.9,Education,College graduate
24,Illinois,Percent of adults aged 18 years and older who have an overweight classification,32.2,Education,High school graduate
25,Oklahoma,Percent of adults who engage in no leisure-time physical activity,31.3,Income,"$35,000 - $49,999"
26,Idaho,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,Asian
27,Vermont,Percent of adults aged 18 years and older who have an overweight classification,29.6,Race/Ethnicity,Other
28,Iowa,Percent of adults aged 18 years and older who have obesity,41.0,Income,"$50,000 - $74,999"
29,North Dakota,Percent of adults who engage in no leisure-time physical activity,17.8,Race/Ethnicity,2 or more races
30,Arkansas,Percent of adults who report consuming fruit less than one time daily,42.5,Income,Data not reported
31,New Hampshire,Percent of adults aged 18 years and older who have obesity,29.5,Income,"$25,000 - $34,999"
32,Maryland,Percent of adults aged 18 years and older who have an overweight classification,35.3,Education,Some college or technical school
33,Missouri,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Other
34,Arkansas,Percent of adults who engage in no leisure-time physical activity,27.2,Age (years),35 - 44
35,Illinois,Percent of adults aged 18 years and older who have an overweight classification,36.7,Race/Ethnicity,Hispanic
36,Rhode Island,Percent of adults aged 18 years and older who have obesity,24.1,Gender,Female
37,Iowa,Percent of adults who engage in no leisure-time physical activity,22.2,Race/Ethnicity,Non-Hispanic White
38,Utah,Percent of adults aged 18 years and older who have an overweight classification,38.9,Race/Ethnicity,Hispanic
39,Maine,Percent of adults who engage in no leisure-time physical activity,10.4,Income,"$75,000 or greater"
40,Maryland,Percent of adults aged 18 years and older who have an overweight classification,27.1,Race/Ethnicity,2 or more races
41,Puerto Rico,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.6,Income,"$25,000 - $34,999"
42,Louisiana,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,23.9,Education,Less than high school
43,Louisiana,Percent of adults who report consuming fruit less than one time daily,47.2,Total,Total
44,Georgia,Percent of adults who engage in no leisure-time physical activity,27.1,Race/Ethnicity,Non-Hispanic White
45,Indiana,Percent of adults aged 18 years and older who have obesity,33.1,Age (years),65 or older
46,Wyoming,Percent of adults aged 18 years and older who have obesity,33.9,Income,"$15,000 - $24,999"
47,Arkansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),38.5,Race/Ethnicity,Non-Hispanic Black
48,Arkansas,Percent of adults aged 18 years and older who have obesity,50.0,Race/Ethnicity,Non-Hispanic Black
49,Arkansas,Percent of adults aged 18 years and older who have obesity,27.2,Education,College graduate
50,Guam,Percent of adults who report consuming vegetables less than one time daily,36.3,Education,Less than high school
51,South Carolina,Percent of adults who engage in no leisure-time physical activity,28.3,Age (years),45 - 54
52,Alaska,Percent of adults aged 18 years and older who have an overweight classification,33.1,Income,"$35,000 - $49,999"
53,Maryland,Percent of adults aged 18 years and older who have an overweight classification,41.0,Age (years),65 or older
54,Utah,Percent of adults aged 18 years and older who have obesity,24.9,Gender,Male
55,Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),44.9,Education,High school graduate
56,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.2,Race/Ethnicity,Hawaiian/Pacific Islander
57,California,Percent of adults aged 18 years and older who have obesity,36.7,Education,Less than high school
58,South Dakota,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Asian
59,Arizona,Percent of adults aged 18 years and older who have obesity,14.6,Race/Ethnicity,Asian
60,Maine,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Non-Hispanic Black
61,Oregon,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,Other
62,Missouri,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.0,Gender,Male
63,Idaho,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),58.2,Age (years),55 - 64
64,Pennsylvania,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,20.1,Age (years),65 or older
65,Maine,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),35.1,Age (years),55 - 64
66,Connecticut,Percent of adults aged 18 years and older who have an overweight classification,42.3,Race/Ethnicity,2 or more races
67,Wisconsin,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Other
68,Michigan,Percent of adults who engage in no leisure-time physical activity,23.0,Race/Ethnicity,2 or more races
69,Tennessee,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,American Indian/Alaska Native
70,Alaska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,26.6,Age (years),55 - 64
71,Utah,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Other
72,National,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.9,Income,"$35,000 - $49,999"
73,Louisiana,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
74,Connecticut,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.9,Age (years),25 - 34
75,Missouri,Percent of adults who engage in no leisure-time physical activity,24.3,Race/Ethnicity,Non-Hispanic White
76,District of Columbia,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,American Indian/Alaska Native
77,New York,Percent of adults who engage in no leisure-time physical activity,26.5,Age (years),35 - 44
78,Missouri,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Other
79,Montana,Percent of adults aged 18 years and older who have obesity,26.2,Education,Less than high school
80,Montana,Percent of adults who engage in no leisure-time physical activity,19.2,Income,"$50,000 - $74,999"
81,Tennessee,Percent of adults aged 18 years and older who have obesity,39.1,Race/Ethnicity,Hispanic
82,Kansas,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.5,Income,"$25,000 - $34,999"
83,North Carolina,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),28.1,Income,"$50,000 - $74,999"
84,Delaware,Percent of adults who engage in no leisure-time physical activity,51.0,Income,"Less than $15,000"
85,Iowa,Percent of adults who engage in no leisure-time physical activity,21.7,Gender,Male
86,California,Percent of adults who report consuming vegetables less than one time daily,29.7,Income,"$35,000 - $49,999"
87,Michigan,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,33.1,Gender,Male
88,Nebraska,Percent of adults who engage in no leisure-time physical activity,14.5,Age (years),18 - 24
89,North Carolina,Percent of adults aged 18 years and older who have obesity,24.1,Education,College graduate
90,Mississippi,Percent of adults aged 18 years and older who have obesity,33.9,Income,"$50,000 - $74,999"
91,Oklahoma,Percent of adults aged 18 years and older who have an overweight classification,35.1,Race/Ethnicity,Non-Hispanic White
92,North Dakota,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.5,Income,"$25,000 - $34,999"
93,Florida,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),38.3,Race/Ethnicity,Asian
94,Montana,Percent of adults who engage in no leisure-time physical activity,10.2,Income,"$75,000 or greater"
95,Florida,Percent of adults aged 18 years and older who have an overweight classification,32.5,Gender,Female
96,Wisconsin,Percent of adults aged 18 years and older who have an overweight classification,26.5,Age (years),18 - 24
97,North Carolina,Percent of adults aged 18 years and older who have an overweight classification,31.0,Income,"$25,000 - $34,999"
98,Washington,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,25.4,Education,College graduate
99,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.7,Age (years),35 - 44
100,Hawaii,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,23.1,Income,"$35,000 - $49,999"
101,Oklahoma,Percent of adults who engage in no leisure-time physical activity,40.4,Education,High school graduate
102,Montana,Percent of adults aged 18 years and older who have an overweight classification,37.2,Race/Ethnicity,Non-Hispanic White
103,Guam,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.6,Income,"Less than $15,000"
104,Missouri,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.5,Race/Ethnicity,Asian
105,Nebraska,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Hawaiian/Pacific Islander
106,New York,Percent of adults aged 18 years and older who have obesity,24.2,Race/Ethnicity,American Indian/Alaska Native
107,Nebraska,Percent of adults aged 18 years and older who have obesity,35.1,Education,High school graduate
108,Kentucky,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.7,Education,College graduate
109,North Dakota,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Other
110,New Hampshire,Percent of adults who engage in no leisure-time physical activity,14.3,Age (years),18 - 24
111,Idaho,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.7,Education,Some college or technical school
112,Alaska,Percent of adults aged 18 years and older who have an overweight classification,32.5,Income,"$15,000 - $24,999"
113,Washington,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,14.9,Race/Ethnicity,Hispanic
114,Tennessee,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,17.5,Age (years),65 or older
115,Montana,Percent of adults aged 18 years and older who have an overweight classification,34.5,Age (years),35 - 44
116,Connecticut,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),55.2,Race/Ethnicity,Non-Hispanic White
117,Kentucky,Percent of adults who report consuming vegetables less than one time daily,23.2,Age (years),55 - 64
118,Arkansas,Percent of adults who engage in no leisure-time physical activity,31.9,Race/Ethnicity,Non-Hispanic White
119,Missouri,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,23.5,Gender,Female
120,New Hampshire,Percent of adults who engage in no leisure-time physical activity,23.4,Age (years),25 - 34
121,Kentucky,Percent of adults who engage in no leisure-time physical activity,22.9,Age (years),25 - 34
122,Maryland,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.9,Income,"$25,000 - $34,999"
123,Michigan,Percent of adults aged 18 years and older who have an overweight classification,31.0,Race/Ethnicity,Non-Hispanic Black
124,North Dakota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,24.7,Gender,Female
125,Idaho,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),46.4,Education,Less than high school
126,North Carolina,Percent of adults who engage in no leisure-time physical activity,42.7,Education,Less than high school
127,Wyoming,Percent of adults aged 18 years and older who have obesity,44.4,Race/Ethnicity,American Indian/Alaska Native
128,Michigan,Percent of adults aged 18 years and older who have obesity,32.4,Education,Some college or technical school
129,Louisiana,Percent of adults who engage in no leisure-time physical activity,24.9,Race/Ethnicity,American Indian/Alaska Native
130,Mississippi,Percent of adults aged 18 years and older who have obesity,31.1,Race/Ethnicity,Non-Hispanic White
131,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,American Indian/Alaska Native
132,South Dakota,Percent of adults aged 18 years and older who have an overweight classification,34.5,Income,"$25,000 - $34,999"
133,Iowa,Percent of adults who engage in no leisure-time physical activity,25.2,Age (years),55 - 64
134,Iowa,Percent of adults aged 18 years and older who have obesity,46.1,Income,"Less than $15,000"
135,Massachusetts,Percent of adults who engage in no leisure-time physical activity,26.5,Education,Some college or technical school
136,Indiana,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),38.9,Race/Ethnicity,American Indian/Alaska Native
137,South Dakota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,25.8,Income,"$35,000 - $49,999"
138,Arizona,Percent of adults aged 18 years and older who have obesity,28.5,Race/Ethnicity,Non-Hispanic White
139,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,32.4,Race/Ethnicity,Hispanic
140,Mississippi,Percent of adults aged 18 years and older who have obesity,38.3,Education,High school graduate
141,Minnesota,Percent of adults aged 18 years and older who have obesity,15.6,Race/Ethnicity,Asian
142,Georgia,Percent of adults aged 18 years and older who have obesity,35.0,Education,High school graduate
143,Illinois,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.3,Race/Ethnicity,Non-Hispanic Black
144,Michigan,Percent of adults who report consuming vegetables less than one time daily,18.0,Age (years),45 - 54
145,Florida,Percent of adults aged 18 years and older who have an overweight classification,35.4,Race/Ethnicity,Non-Hispanic Black
146,Alabama,Percent of adults who engage in no leisure-time physical activity,20.6,Income,"$50,000 - $74,999"
147,Utah,Percent of adults who engage in no leisure-time physical activity,25.0,Education,High school graduate
148,New Mexico,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Other
149,District of Columbia,Percent of adults aged 18 years and older who have obesity,39.0,Income,"$25,000 - $34,999"
150,New York,Percent of adults who report consuming vegetables less than one time daily,17.2,Race/Ethnicity,Non-Hispanic White
151,District of Columbia,Percent of adults aged 18 years and older who have obesity,19.8,Income,"$25,000 - $34,999"
152,Oregon,Percent of adults who engage in no leisure-time physical activity,24.1,Age (years),65 or older
153,Oregon,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,Hawaiian/Pacific Islander
154,South Dakota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.6,Education,Some college or technical school
155,Maine,Percent of adults aged 18 years and older who have obesity,31.8,Education,Some college or technical school
156,Oklahoma,Percent of adults aged 18 years and older who have an overweight classification,32.4,Age (years),45 - 54
157,Virgin Islands,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Hispanic
158,Arizona,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),33.8,Education,Some college or technical school
159,Kansas,Percent of adults aged 18 years and older who have an overweight classification,33.3,Income,"Less than $15,000"
160,Minnesota,Percent of adults aged 18 years and older who have obesity,28.7,Income,"$15,000 - $24,999"
161,Rhode Island,Percent of adults aged 18 years and older who have an overweight classification,37.1,Total,Total
162,Nebraska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),38.1,Race/Ethnicity,Hispanic
163,Alaska,Percent of adults who engage in no leisure-time physical activity,13.4,Age (years),25 - 34
164,Arizona,Percent of adults who report consuming fruit less than one time daily,39.7,Race/Ethnicity,Hawaiian/Pacific Islander
165,Colorado,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),34.2,Income,"Less than $15,000"
166,Wisconsin,Percent of adults who engage in no leisure-time physical activity,19.3,Income,"$35,000 - $49,999"
167,Maryland,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),33.6,Income,"$75,000 or greater"
168,Georgia,Percent of adults who engage in no leisure-time physical activity,23.9,Race/Ethnicity,Asian
169,Hawaii,Percent of adults aged 18 years and older who have obesity,24.2,Education,High school graduate
170,Utah,Percent of adults who engage in no leisure-time physical activity,19.2,Age (years),55 - 64
171,South Dakota,Percent of adults aged 18 years and older who have an overweight classification,38.2,Age (years),35 - 44
172,Indiana,Percent of adults aged 18 years and older who have an overweight classification,26.0,Education,Less than high school
173,Missouri,Percent of adults aged 18 years and older who have obesity,34.0,Education,Some college or technical school
174,Louisiana,Percent of adults aged 18 years and older who have an overweight classification,30.6,Gender,Female
175,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,28.3,Income,"$15,000 - $24,999"
176,California,Percent of adults aged 18 years and older who have obesity,27.2,Age (years),35 - 44
177,North Carolina,Percent of adults aged 18 years and older who have an overweight classification,33.4,Race/Ethnicity,Non-Hispanic Black
178,Missouri,Percent of adults aged 18 years and older who have obesity,34.0,Total,Total
179,Maryland,Percent of adults who engage in no leisure-time physical activity,16.9,Income,"$75,000 or greater"
180,Pennsylvania,Percent of adults who report consuming fruit less than one time daily,39.7,Race/Ethnicity,American Indian/Alaska Native
181,Rhode Island,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.0,Gender,Female
182,Massachusetts,Percent of adults aged 18 years and older who have obesity,30.9,Race/Ethnicity,Hispanic
183,Indiana,Percent of adults aged 18 years and older who have an overweight classification,34.9,Race/Ethnicity,Non-Hispanic White
184,South Carolina,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.6,Age (years),18 - 24
185,Colorado,Percent of adults aged 18 years and older who have an overweight classification,33.4,Income,"$25,000 - $34,999"
186,Vermont,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),41.3,Race/Ethnicity,American Indian/Alaska Native
187,New Jersey,Percent of adults aged 18 years and older who have obesity,7.9,Race/Ethnicity,Asian
188,Guam,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,34.7,Race/Ethnicity,Hispanic
189,West Virginia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),36.4,Income,"$75,000 or greater"
190,Nebraska,Percent of adults aged 18 years and older who have an overweight classification,34.5,Income,"$35,000 - $49,999"
191,Ohio,Percent of adults aged 18 years and older who have obesity,30.8,Income,Data not reported
192,Oklahoma,Percent of adults who engage in no leisure-time physical activity,29.7,Age (years),45 - 54
193,Texas,Percent of adults who engage in no leisure-time physical activity,39.1,Education,High school graduate
194,Mississippi,Percent of adults who engage in no leisure-time physical activity,31.8,Age (years),45 - 54
195,Minnesota,Percent of adults aged 18 years and older who have obesity,28.6,Age (years),35 - 44
196,Maine,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Asian
197,South Dakota,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.8,Education,Less than high school
198,Florida,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.3,Race/Ethnicity,Asian
199,North Dakota,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Asian
200,Florida,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,17.9,Age (years),55 - 64
201,Vermont,Percent of adults aged 18 years and older who have an overweight classification,26.9,Race/Ethnicity,2 or more races
202,New Mexico,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Other
203,South Dakota,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Non-Hispanic Black
204,Ohio,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,23.6,Race/Ethnicity,Hispanic
205,Delaware,Percent of adults aged 18 years and older who have an overweight classification,30.2,Income,Data not reported
206,Texas,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,39.9,Income,"$35,000 - $49,999"
207,Iowa,Percent of adults aged 18 years and older who have obesity,36.4,Gender,Male
208,West Virginia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,19.7,Education,High school graduate
209,Idaho,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.1,Education,High school graduate
210,Indiana,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,25.8,Age (years),45 - 54
211,Kentucky,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,12.2,Age (years),55 - 64
212,Mississippi,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,2 or more races
213,New Jersey,Percent of adults aged 18 years and older who have an overweight classification,32.0,Gender,Female
214,Idaho,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
215,Oregon,Percent of adults who report consuming fruit less than one time daily,41.0,Race/Ethnicity,Hispanic
216,District of Columbia,Percent of adults who report consuming vegetables less than one time daily,21.1,Education,Less than high school
217,Alaska,Percent of adults who engage in no leisure-time physical activity,19.1,Age (years),18 - 24
218,Maine,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Non-Hispanic Black
219,District of Columbia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,26.3,Total,Total
220,West Virginia,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,American Indian/Alaska Native
221,Oregon,Percent of adults aged 18 years and older who have an overweight classification,37.6,Income,"$25,000 - $34,999"
222,Tennessee,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.9,Race/Ethnicity,Non-Hispanic White
223,Utah,Percent of adults aged 18 years and older who have obesity,27.1,Race/Ethnicity,Non-Hispanic White
224,Ohio,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,34.7,Total,Total
225,Missouri,Percent of adults aged 18 years and older who have obesity,34.4,Gender,Male
226,Florida,Percent of adults aged 18 years and older who have obesity,37.7,Race/Ethnicity,2 or more races
227,Nebraska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),51.2,Education,Some college or technical school
228,Rhode Island,Percent of adults aged 18 years and older who have obesity,32.0,Age (years),35 - 44
229,Colorado,Percent of adults who engage in no leisure-time physical activity,16.7,Education,Some college or technical school
230,New Mexico,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,41.4,Race/Ethnicity,American Indian/Alaska Native
231,Virgin Islands,Percent of adults who engage in no leisure-time physical activity,13.2,Income,"$75,000 or greater"
232,Delaware,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.4,Education,College graduate
233,Puerto Rico,Percent of adults who report consuming vegetables less than one time daily,48.0,Education,High school graduate
234,Hawaii,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),56.5,Total,Total
235,Guam,Percent of adults aged 18 years and older who have an overweight classification,35.4,Education,Some college or technical school
236,Ohio,Percent of adults aged 18 years and older who have an overweight classification,32.8,Total,Total
237,Delaware,Percent of adults who report consuming fruit less than one time daily,38.6,Income,Data not reported
238,Oklahoma,Percent of adults who engage in no leisure-time physical activity,16.3,Income,"$75,000 or greater"
